year,constructorId,constructor_points_season
1996,29,1.0
1997,1,63.0
1997,3,123.0
1997,6,102.0
1997,15,16.0
1997,17,33.0
1997,18,0.0
1997,20,21.0
1997,21,9.0
1997,22,67.0
1997,24,6.0
1997,25,2.0
1997,26,0.0
1998,1,156.0
1998,3,38.0
1998,6,133.0
1998,15,10.0
1998,17,34.0
1998,18,0.0
1998,20,1.0
1998,21,6.0
1998,22,33.0
1998,24,5.0
1998,25,0.0
1999,1,124.0
1999,3,35.0
1999,6,128.0
1999,15,5.0
1999,16,0.0
1999,17,61.0
1999,18,1.0
1999,20,9.0
1999,21,1.0
1999,22,16.0
1999,24,36.0
2000,1,162.0
2000,3,36.0
2000,6,170.0
2000,15,6.0
2000,16,20.0
2000,17,17.0
2000,18,0.0
2000,19,4.0
2000,20,0.0
2000,21,7.0
2000,22,20.0
2001,1,102.0
2001,3,80.0
2001,6,179.0
2001,15,21.0
2001,16,17.0
2001,17,19.0
2001,18,0.0
2001,19,9.0
2001,20,4.0
2001,21,1.0
2001,22,10.0
2002,1,65.0
2002,3,92.0
2002,4,23.0
2002,6,221.0
2002,7,2.0
2002,15,11.0
2002,16,7.0
2002,17,9.0
2002,18,2.0
2002,19,8.0
2002,21,2.0
2003,1,142.0
2003,3,144.0
2003,4,88.0
2003,6,158.0
2003,7,16.0
2003,15,19.0
2003,16,26.0
2003,17,13.0
2003,18,0.0
2003,19,18.0
2004,1,69.0
2004,3,88.0
2004,4,105.0
2004,6,262.0
2004,7,9.0
2004,15,34.0
2004,16,119.0
2004,17,5.0
2004,18,1.0
2004,19,10.0
2005,1,182.0
2005,3,66.0
2005,4,191.0
2005,6,100.0
2005,7,88.0
2005,9,34.0
2005,15,20.0
2005,16,38.0
2005,17,12.0
2005,18,7.0
2006,1,110.0
2006,2,36.0
2006,3,11.0
2006,4,206.0
2006,5,1.0
2006,6,201.0
2006,7,35.0
2006,8,0.0
2006,9,16.0
2006,11,86.0
2006,13,0.0
2006,14,0.0
2007,1,218.0
2007,2,101.0
2007,3,33.0
2007,4,51.0
2007,5,8.0
2007,6,204.0
2007,7,13.0
2007,8,4.0
2007,9,24.0
2007,11,6.0
2007,12,1.0
2008,1,151.0
2008,2,135.0
2008,3,26.0
2008,4,80.0
2008,5,39.0
2008,6,172.0
2008,7,56.0
2008,8,0.0
2008,9,29.0
2008,10,0.0
2008,11,14.0
2009,1,71.0
2009,2,36.0
2009,3,34.5
2009,4,26.0
2009,5,8.0
2009,6,70.0
2009,7,59.5
2009,9,153.5
2009,10,13.0
2009,23,172.0
2010,1,454.0
2010,3,69.0
2010,4,163.0
2010,5,13.0
2010,6,396.0
2010,9,498.0
2010,10,68.0
2010,15,44.0
2010,131,214.0
2010,164,0.0
2010,166,0.0
2010,205,0.0
2011,1,497.0
2011,3,5.0
2011,4,73.0
2011,5,41.0
2011,6,375.0
2011,9,650.0
2011,10,69.0
2011,15,44.0
2011,131,165.0
2011,164,0.0
2011,166,0.0
2011,205,0.0
2012,1,378.0
2012,3,76.0
2012,5,26.0
2012,6,400.0
2012,9,460.0
2012,10,109.0
2012,15,126.0
2012,131,142.0
2012,164,0.0
2012,206,0.0
2012,207,0.0
2012,208,303.0
2013,1,122.0
2013,3,5.0
2013,5,33.0
2013,6,354.0
2013,9,596.0
2013,10,77.0
2013,15,57.0
2013,131,360.0
2013,206,0.0
2013,207,0.0
2013,208,315.0
2014,1,181.0
2014,3,320.0
2014,5,30.0
2014,6,216.0
2014,9,405.0
2014,10,155.0
2014,15,0.0
2014,131,701.0
2014,206,2.0
2014,207,0.0
2014,208,10.0
2015,1,27.0
2015,3,257.0
2015,5,67.0
2015,6,428.0
2015,9,187.0
2015,10,136.0
2015,15,36.0
2015,131,703.0
2015,208,78.0
2015,209,0.0
2016,1,76.0
2016,3,138.0
2016,4,8.0
2016,5,63.0
2016,6,398.0
2016,9,468.0
2016,10,173.0
2016,15,2.0
2016,131,765.0
2016,209,1.0
2016,210,29.0
2017,1,30.0
2017,3,83.0
2017,4,57.0
2017,5,53.0
2017,6,522.0
2017,9,368.0
2017,10,187.0
2017,15,5.0
2017,131,668.0
2017,210,47.0
2018,1,62.0
2018,3,7.0
2018,4,122.0
2018,5,33.0
2018,6,571.0
2018,9,419.0
2018,10,111.0
2018,15,48.0
2018,131,655.0
2018,210,93.0
2019,1,145.0
2019,3,1.0
2019,4,91.0
2019,5,85.0
2019,6,504.0
2019,9,417.0
2019,51,57.0
2019,131,739.0
2019,210,28.0
2019,211,73.0
2020,1,202.0
2020,3,0.0
2020,4,181.0
2020,6,131.0
2020,9,319.0
2020,51,8.0
2020,131,573.0
2020,210,3.0
2020,211,210.0
2020,213,107.0
2021,1,274.0
2021,3,23.0
2021,6,322.5
2021,9,578.5
2021,51,13.0
2021,117,77.0
2021,131,604.5
2021,210,0.0
2021,213,142.0
2021,214,155.0
2022,1,150.0
2022,3,8.0
2022,6,519.0
2022,9,724.0
2022,51,53.0
2022,117,55.0
2022,131,495.0
2022,210,33.0
2022,213,35.0
2022,214,170.0
2023,1,266.0
2023,3,26.0
2023,6,363.0
2023,9,790.0
2023,51,16.0
2023,117,266.0
2023,131,374.0
2023,210,9.0
2023,213,22.0
2023,214,110.0
2024,1,609.0
2024,3,17.0
2024,6,595.0
2024,9,537.0
2024,15,4.0
2024,117,94.0
2024,131,433.0
2024,210,51.0
2024,214,63.0
2024,215,40.0
