raceId,year,round,circuitId,date,safety_car
692,1966,3,55,1966-07-03,0
693,1966,4,38,1966-07-16,0
694,1966,5,39,1966-07-24,0
695,1966,6,20,1966-08-07,0
696,1966,7,14,1966-09-04,0
697,1966,8,46,1966-10-02,0
698,1966,9,32,1966-10-23,0
699,1965,1,56,1965-01-01,0
700,1965,2,6,1965-05-30,0
701,1965,3,13,1965-06-13,0
702,1965,4,51,1965-06-27,0
703,1965,5,9,1965-07-10,0
704,1965,6,39,1965-07-18,0
705,1965,7,20,1965-08-01,0
706,1965,8,14,1965-09-12,0
707,1965,9,46,1965-10-03,0
708,1965,10,32,1965-10-24,0
709,1964,1,6,1964-05-10,0
710,1964,2,39,1964-05-24,0
711,1964,3,13,1964-06-14,0
712,1964,4,53,1964-06-28,0
713,1964,5,38,1964-07-11,0
714,1964,6,20,1964-08-02,0
715,1964,7,57,1964-08-23,0
716,1964,8,14,1964-09-06,0
717,1964,9,46,1964-10-04,0
718,1964,10,32,1964-10-25,0
719,1963,1,6,1963-05-26,0
720,1963,2,13,1963-06-09,0
721,1963,3,39,1963-06-23,0
722,1963,4,55,1963-06-30,0
723,1963,5,9,1963-07-20,0
724,1963,6,20,1963-08-04,0
725,1963,7,14,1963-09-08,0
726,1963,8,46,1963-10-06,0
727,1963,9,32,1963-10-27,0
728,1963,10,56,1963-12-28,0
729,1962,1,39,1962-05-20,0
730,1962,2,6,1962-06-03,0
731,1962,3,13,1962-06-17,0
732,1962,4,53,1962-07-08,0
733,1962,5,58,1962-07-21,0
734,1962,6,20,1962-08-05,0
735,1962,7,14,1962-09-16,0
736,1962,8,46,1962-10-07,0
737,1962,9,56,1962-12-29,0
738,1961,1,6,1961-05-14,0
739,1961,2,39,1961-05-22,0
740,1961,3,13,1961-06-18,0
741,1961,4,55,1961-07-02,0
742,1961,5,58,1961-07-15,0
743,1961,6,20,1961-08-06,0
744,1961,7,14,1961-09-10,0
745,1961,8,46,1961-10-08,0
746,1960,1,25,1960-02-07,0
747,1960,2,6,1960-05-29,0
748,1960,3,19,1960-05-30,0
749,1960,4,39,1960-06-06,0
750,1960,5,13,1960-06-19,0
751,1960,6,55,1960-07-03,0
752,1960,7,9,1960-07-16,0
753,1960,8,59,1960-08-14,0
754,1960,9,14,1960-09-04,0
755,1960,10,60,1960-11-20,0
756,1959,1,6,1959-05-10,0
757,1959,2,19,1959-05-30,0
758,1959,3,39,1959-05-31,0
759,1959,4,55,1959-07-05,0
760,1959,5,58,1959-07-18,0
761,1959,6,61,1959-08-02,0
762,1959,7,62,1959-08-23,0
763,1959,8,14,1959-09-13,0
764,1959,9,63,1959-12-12,0
765,1958,1,25,1958-01-19,0
766,1958,2,6,1958-05-18,0
767,1958,3,39,1958-05-26,0
768,1958,4,19,1958-05-30,0
769,1958,5,13,1958-06-15,0
770,1958,6,55,1958-07-06,0
771,1958,7,9,1958-07-19,0
772,1958,8,20,1958-08-03,0
773,1958,9,59,1958-08-24,0
